Time (s),Latitude (°),Longitude (°),Direction (°)
0.000000000E0,9.891112181E0,8.891036238E0,2.945917358E2
1.025303646E0,9.891112181E0,8.891036238E0,2.945917358E2
2.012711979E0,9.891108824E0,8.891034936E0,2.528473816E2
3.008873437E0,9.891097190E0,8.891026374E0,2.174253540E2
4.006251041E0,9.891077595E0,8.891009712E0,2.077746735E2
5.015041666E0,9.891049557E0,8.890987966E0,2.060923767E2
5.994615624E0,9.891019758E0,8.890963329E0,2.191900330E2
7.013097395E0,9.890998752E0,8.890933196E0,2.379677734E2
8.008792707E0,9.890982945E0,8.890895719E0,2.485911102E2
9.038181770E0,9.890971482E0,8.890854170E0,2.557396545E2
9.996802603E0,9.890957530E0,8.890813881E0,2.500659180E2
1.103402292E1,9.890945812E0,8.890774139E0,2.538502655E2
1.201265052E1,9.890937572E0,8.890735418E0,2.590420837E2
1.299692760E1,9.890933754E0,8.890701120E0,2.608543701E2
1.400783281E1,9.890929384E0,8.890669078E0,2.610250549E2
1.500198281E1,9.890924784E0,8.890640229E0,2.581522827E2
1.600106718E1,9.890917364E0,8.890610256E0,2.558683929E2
1.700204583E1,9.890910240E0,8.890576168E0,2.618885193E2
1.803629062E1,9.890906902E0,8.890539052E0,2.678020935E2
1.900271614E1,9.890906603E0,8.890501271E0,2.740117798E2
2.002450573E1,9.890909597E0,8.890462721E0,2.770320435E2
2.101715937E1,9.890911817E0,8.890429116E0,2.725548706E2
2.204186770E1,9.890905774E0,8.890407152E0,2.265124664E2
2.300737396E1,9.890889239E0,8.890393823E0,2.071506958E2
2.400647916E1,9.890856175E0,8.890400872E0,1.779511108E2
2.500098802E1,9.890823301E0,8.890403916E0,1.769522247E2
2.599528437E1,9.890784366E0,8.890405241E0,1.789387360E2
2.700413020E1,9.890749541E0,8.890412126E0,1.747307434E2
2.800350312E1,9.890713531E0,8.890413622E0,1.785320740E2
2.900787395E1,9.890676742E0,8.890416480E0,1.797052917E2
2.999993229E1,9.890637245E0,8.890414238E0,1.844504547E2
3.099801927E1,9.890598603E0,8.890404355E0,1.971054535E2
3.200093229E1,9.890566345E0,8.890389474E0,2.124772644E2
3.300384166E1,9.890537756E0,8.890364624E0,2.226674042E2
3.399520260E1,9.890506045E0,8.890338019E0,2.268807678E2
3.500942031E1,9.890478628E0,8.890302853E0,2.329965057E2
3.599728541E1,9.890455119E0,8.890267610E0,2.402046356E2
3.704454426E1,9.890433881E0,8.890231873E0,2.399789581E2
3.801091927E1,9.890411803E0,8.890199510E0,2.313043671E2
3.899622812E1,9.890387404E0,8.890174531E0,2.216084290E2
4.000635520E1,9.890363829E0,8.890161365E0,1.861433563E2
4.104108906E1,9.890341553E0,8.890161767E0,1.519116516E2
4.199649999E1,9.890315046E0,8.890175704E0,1.426612396E2
4.300209166E1,9.890287910E0,8.890190038E0,1.444716797E2
4.399428281E1,9.890256535E0,8.890205017E0,1.516093750E2
4.501080051E1,9.890222013E0,8.890219323E0,1.583794708E2
4.602471197E1,9.890187347E0,8.890229496E0,1.623601227E2
4.699547812E1,9.890147898E0,8.890238210E0,1.608356171E2
4.800848020E1,9.890105302E0,8.890249653E0,1.621944427E2
4.899599895E1,9.890058301E0,8.890260560E0,1.635012665E2
5.000899114E1,9.890015047E0,8.890271155E0,1.630749207E2
5.101870468E1,9.889970205E0,8.890285098E0,1.596794586E2
5.199735989E1,9.889921055E0,8.890299040E0,1.627049713E2
5.301134687E1,9.889876695E0,8.890309238E0,1.660784454E2
5.399796874E1,9.889831681E0,8.890312153E0,1.725734711E2
5.500480260E1,9.889791470E0,8.890320723E0,1.603127136E2
5.600934739E1,9.889756821E0,8.890334803E0,1.573579559E2
5.699603645E1,9.889720756E0,8.890348990E0,1.606931305E2
5.803869999E1,9.889685647E0,8.890362693E0,1.551461182E2
5.899721041E1,9.889653400E0,8.890375390E0,1.583351898E2
6.000427916E1,9.889618107E0,8.890382190E0,1.802956085E2
6.100093020E1,9.889585223E0,8.890378973E0,2.055722809E2
6.199616353E1,9.889551947E0,8.890368615E0,2.140675964E2
